episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_lr,info/learner/default_policy/mean_q,info/learner/default_policy/min_q,info/learner/default_policy/max_q,info/learner/default_policy/mean_td_error
79.0,9.0,22.177777777777777,22.177777777777777,45,1,1004,False,45,1,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-48-50,1589080730,12.090728998184204,12.090728998184204,27622,skbly7.local,192.168.1.5,12.090728998184204,0,1,00000,0,"[29.0, 18.0, 14.0, 30.0, 27.0, 42.0, 16.0, 59.0, 16.0, 19.0, 17.0, 21.0, 40.0, 14.0, 12.0, 20.0, 14.0, 19.0, 13.0, 14.0, 35.0, 21.0, 12.0, 23.0, 26.0, 19.0, 18.0, 13.0, 18.0, 13.0, 14.0, 23.0, 25.0, 11.0, 12.0, 16.0, 16.0, 16.0, 18.0, 79.0, 24.0, 9.0, 12.0, 38.0, 33.0]","[29, 18, 14, 30, 27, 42, 16, 59, 16, 19, 17, 21, 40, 14, 12, 20, 14, 19, 13, 14, 35, 21, 12, 23, 26, 19, 18, 13, 18, 13, 14, 23, 25, 11, 12, 16, 16, 16, 18, 79, 24, 9, 12, 38, 33]",2.514858625421477,0.5287096868106974,1.2880197211877626,155.576,205.688,16.877,1004,64,1000,1,70.2611111111111,70.55,0.0005000000237487257,0.22595167,-0.15313083,0.7721304,-1.1336408
79.0,9.0,20.88421052631579,20.88421052631579,50,1,2008,False,95,2,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-48-57,1589080737,7.0023298263549805,19.093058824539185,27622,skbly7.local,192.168.1.5,19.093058824539185,0,2,00000,0,"[23.0, 11.0, 12.0, 15.0, 15.0, 10.0, 31.0, 21.0, 15.0, 36.0, 16.0, 30.0, 13.0, 15.0, 25.0, 11.0, 11.0, 17.0, 11.0, 34.0, 35.0, 15.0, 19.0, 17.0, 16.0, 17.0, 14.0, 13.0, 23.0, 10.0, 23.0, 11.0, 16.0, 18.0, 33.0, 16.0, 22.0, 11.0, 20.0, 42.0, 28.0, 32.0, 20.0, 16.0, 16.0, 13.0, 10.0, 51.0, 26.0, 11.0, 29.0, 18.0, 14.0, 30.0, 27.0, 42.0, 16.0, 59.0, 16.0, 19.0, 17.0, 21.0, 40.0, 14.0, 12.0, 20.0, 14.0, 19.0, 13.0, 14.0, 35.0, 21.0, 12.0, 23.0, 26.0, 19.0, 18.0, 13.0, 18.0, 13.0, 14.0, 23.0, 25.0, 11.0, 12.0, 16.0, 16.0, 16.0, 18.0, 79.0, 24.0, 9.0, 12.0, 38.0, 33.0]","[23, 11, 12, 15, 15, 10, 31, 21, 15, 36, 16, 30, 13, 15, 25, 11, 11, 17, 11, 34, 35, 15, 19, 17, 16, 17, 14, 13, 23, 10, 23, 11, 16, 18, 33, 16, 22, 11, 20, 42, 28, 32, 20, 16, 16, 13, 10, 51, 26, 11, 29, 18, 14, 30, 27, 42, 16, 59, 16, 19, 17, 21, 40, 14, 12, 20, 14, 19, 13, 14, 35, 21, 12, 23, 26, 19, 18, 13, 18, 13, 14, 23, 25, 11, 12, 16, 16, 16, 18, 79, 24, 9, 12, 38, 33]",1.9726988665678742,0.48470956140742366,1.2408981729210367,4.15,7711.314,6.432,2008,8096,2008,3,70.07000000000001,70.57,0.0005000000237487257,1.7837887,1.1167489,2.2326334,0.0075841174
51.0,9.0,19.63,19.63,52,1,3012,False,147,3,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-05,1589080745,7.314793109893799,26.407851934432983,27622,skbly7.local,192.168.1.5,26.407851934432983,0,3,00000,0,"[25.0, 20.0, 13.0, 24.0, 17.0, 9.0, 12.0, 10.0, 20.0, 34.0, 10.0, 13.0, 12.0, 19.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 12.0, 15.0, 15.0, 10.0, 31.0, 21.0, 15.0, 36.0, 16.0, 30.0, 13.0, 15.0, 25.0, 11.0, 11.0, 17.0, 11.0, 34.0, 35.0, 15.0, 19.0, 17.0, 16.0, 17.0, 14.0, 13.0, 23.0, 10.0, 23.0, 11.0, 16.0, 18.0, 33.0, 16.0, 22.0, 11.0, 20.0, 42.0, 28.0, 32.0, 20.0, 16.0, 16.0, 13.0, 10.0, 51.0, 26.0, 11.0]","[25, 20, 13, 24, 17, 9, 12, 10, 20, 34, 10, 13, 12, 19, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 12, 15, 15, 10, 31, 21, 15, 36, 16, 30, 13, 15, 25, 11, 11, 17, 11, 34, 35, 15, 19, 17, 16, 17, 14, 13, 23, 10, 23, 11, 16, 18, 33, 16, 22, 11, 20, 42, 28, 32, 20, 16, 16, 13, 10, 51, 26, 11]",1.3188930018807756,0.42445159204990474,1.1932104259555205,3.556,8998.058,6.364,3012,16128,2512,4,79.08,70.41999999999999,0.0005000000237487257,3.4022665,1.319465,5.0707774,0.005861204
121.0,9.0,24.88,24.88,26,1,4016,False,173,4,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-12,1589080752,6.782654047012329,33.19050598144531,27622,skbly7.local,192.168.1.5,33.19050598144531,0,4,00000,0,"[20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 23.0, 10.0, 23.0, 11.0, 16.0, 18.0, 33.0, 16.0, 22.0, 11.0, 20.0, 42.0, 28.0, 32.0, 20.0, 16.0, 16.0, 13.0, 10.0, 51.0, 26.0, 11.0, 25.0, 20.0, 13.0, 24.0, 17.0, 9.0, 12.0, 10.0, 20.0, 34.0, 10.0, 13.0, 12.0, 19.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0]","[20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 23, 10, 23, 11, 16, 18, 33, 16, 22, 11, 20, 42, 28, 32, 20, 16, 16, 13, 10, 51, 26, 11, 25, 20, 13, 24, 17, 9, 12, 10, 20, 34, 10, 13, 12, 19, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19]",1.1662377755866709,0.40008007336763574,1.1913912509371631,3.145,10174.099,7.281,4016,24160,3520,6,80.6,70.61999999999998,0.0005000000237487257,4.9726124,1.9555058,6.5423584,0.20827296
200.0,9.0,32.18,32.18,11,1,5020,False,184,5,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-18,1589080758,6.710715055465698,39.90122103691101,27622,skbly7.local,192.168.1.5,39.90122103691101,0,5,00000,0,"[16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 42.0, 28.0, 32.0, 20.0, 16.0, 16.0, 13.0, 10.0, 51.0, 26.0, 11.0, 25.0, 20.0, 13.0, 24.0, 17.0, 9.0, 12.0, 10.0, 20.0, 34.0, 10.0, 13.0, 12.0, 19.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0]","[16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 42, 28, 32, 20, 16, 16, 13, 10, 51, 26, 11, 25, 20, 13, 24, 17, 9, 12, 10, 20, 34, 10, 13, 12, 19, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34]",1.0839062760071925,0.38636905952032663,1.1903895123818793,3.308,9673.28,6.331,5020,32192,4528,8,80.43333333333334,70.7,0.0005000000237487257,6.639641,0.6892704,8.234304,-0.1220305
200.0,9.0,40.43,40.43,10,1,6024,False,194,6,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-25,1589080765,6.726251125335693,46.627472162246704,27622,skbly7.local,192.168.1.5,46.627472162246704,0,6,00000,0,"[166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 11.0, 25.0, 20.0, 13.0, 24.0, 17.0, 9.0, 12.0, 10.0, 20.0, 34.0, 10.0, 13.0, 12.0, 19.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0]","[166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 11, 25, 20, 13, 24, 17, 9, 12, 10, 20, 34, 10, 13, 12, 19, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44]",0.9983295697119905,0.37163582750762514,1.189117717055882,3.737,8562.425,11.301,6024,40224,5536,10,79.29,70.6,0.0005000000237487257,8.524828,-1.0965877,10.691012,-0.0072066486
200.0,9.0,48.33,48.33,8,1,7028,False,202,7,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-31,1589080771,5.846127033233643,52.47359919548035,27622,skbly7.local,192.168.1.5,52.47359919548035,0,7,00000,0,"[127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0, 10.0, 20.0, 34.0, 10.0, 13.0, 12.0, 19.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0]","[127, 164, 104, 85, 40, 131, 156, 114, 10, 20, 34, 10, 13, 12, 19, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105]",0.9459096837171009,0.3611572002308112,1.187222485770849,3.672,8714.531,12.774,7028,48256,6544,12,76.0125,70.46249999999999,0.0005000000237487257,9.724155,-0.5862508,13.114156,0.094579786
200.0,9.0,56.74,56.74,7,1,8032,False,209,8,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-39,1589080779,8.121658325195312,60.59525752067566,27622,skbly7.local,192.168.1.5,60.59525752067566,0,8,00000,0,"[115.0, 133.0, 196.0, 141.0, 74.0, 131.0, 169.0, 12.0, 31.0, 18.0, 11.0, 20.0, 10.0, 22.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0]","[115, 133, 196, 141, 74, 131, 169, 12, 31, 18, 11, 20, 10, 22, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 127, 164, 104, 85, 40, 131, 156, 114]",0.8988503579151215,0.35174516499716246,1.1874946914248599,4.055,7890.658,7.426,8032,56288,7552,14,86.38333333333333,69.90833333333335,0.0005000000237487257,11.661847,-0.96601444,15.209205,0.16018395
200.0,9.0,66.79,66.79,7,1,9036,False,216,9,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-48,1589080788,8.681480407714844,69.2767379283905,27622,skbly7.local,192.168.1.5,69.2767379283905,0,9,00000,0,"[142.0, 111.0, 169.0, 200.0, 133.0, 200.0, 174.0, 13.0, 11.0, 19.0, 12.0, 31.0, 10.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0, 115.0, 133.0, 196.0, 141.0, 74.0, 131.0, 169.0]","[142, 111, 169, 200, 133, 200, 174, 13, 11, 19, 12, 31, 10, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 127, 164, 104, 85, 40, 131, 156, 114, 115, 133, 196, 141, 74, 131, 169]",0.8501857155772163,0.3482422080524006,1.1888287264843793,3.2,9999.607,6.521,9036,64320,8560,16,66.29166666666666,70.425,0.0005000000237487257,13.60377,-0.96339893,16.362593,-0.30225503
200.0,9.0,74.62,74.62,6,1,10040,False,222,10,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-49-57,1589080797,9.17509913444519,78.4518370628357,27622,skbly7.local,192.168.1.5,78.4518370628357,0,10,00000,0,"[157.0, 125.0, 129.0, 151.0, 143.0, 174.0, 11.0, 18.0, 17.0, 39.0, 34.0, 18.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0, 115.0, 133.0, 196.0, 141.0, 74.0, 131.0, 169.0, 142.0, 111.0, 169.0, 200.0, 133.0, 200.0, 174.0]","[157, 125, 129, 151, 143, 174, 11, 18, 17, 39, 34, 18, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 127, 164, 104, 85, 40, 131, 156, 114, 115, 133, 196, 141, 74, 131, 169, 142, 111, 169, 200, 133, 200, 174]",0.8190815734820137,0.34468134386710353,1.1904053767273515,3.102,10315.395,6.474,10040,72352,9568,18,74.18571428571428,67.93571428571428,0.0005000000237487257,14.02129,1.2082146,19.25086,1.3400164
200.0,9.0,84.36,84.36,6,1,11044,False,228,11,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-50-03,1589080803,5.707253694534302,84.15909075737,27622,skbly7.local,192.168.1.5,84.15909075737,0,11,00000,0,"[146.0, 165.0, 200.0, 200.0, 200.0, 200.0, 12.0, 25.0, 34.0, 19.0, 13.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0, 115.0, 133.0, 196.0, 141.0, 74.0, 131.0, 169.0, 142.0, 111.0, 169.0, 200.0, 133.0, 200.0, 174.0, 157.0, 125.0, 129.0, 151.0, 143.0, 174.0]","[146, 165, 200, 200, 200, 200, 12, 25, 34, 19, 13, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 127, 164, 104, 85, 40, 131, 156, 114, 115, 133, 196, 141, 74, 131, 169, 142, 111, 169, 200, 133, 200, 174, 157, 125, 129, 151, 143, 174]",0.7848432798700409,0.3400607177161168,1.1902642799905407,3.561,8985.347,7.831,11044,80384,10576,20,57.3375,63.400000000000006,0.0005000000237487257,17.770668,7.77862,20.90901,0.9441785
200.0,9.0,92.11,92.11,5,1,12048,False,233,12,e21f312a28f04f38af03f9b8316a21fc,2020-05-10_08-50-09,1589080809,6.055661916732788,90.21475267410278,27622,skbly7.local,192.168.1.5,90.21475267410278,0,12,00000,0,"[200.0, 200.0, 176.0, 168.0, 134.0, 29.0, 15.0, 25.0, 31.0, 26.0, 29.0, 16.0, 22.0, 18.0, 13.0, 25.0, 11.0, 34.0, 19.0, 20.0, 13.0, 18.0, 9.0, 22.0, 90.0, 15.0, 46.0, 29.0, 26.0, 37.0, 41.0, 74.0, 121.0, 21.0, 48.0, 26.0, 22.0, 83.0, 11.0, 29.0, 41.0, 54.0, 24.0, 55.0, 34.0, 16.0, 83.0, 70.0, 135.0, 101.0, 64.0, 74.0, 94.0, 200.0, 52.0, 44.0, 166.0, 28.0, 82.0, 119.0, 156.0, 48.0, 153.0, 77.0, 145.0, 105.0, 127.0, 164.0, 104.0, 85.0, 40.0, 131.0, 156.0, 114.0, 115.0, 133.0, 196.0, 141.0, 74.0, 131.0, 169.0, 142.0, 111.0, 169.0, 200.0, 133.0, 200.0, 174.0, 157.0, 125.0, 129.0, 151.0, 143.0, 174.0, 146.0, 165.0, 200.0, 200.0, 200.0, 200.0]","[200, 200, 176, 168, 134, 29, 15, 25, 31, 26, 29, 16, 22, 18, 13, 25, 11, 34, 19, 20, 13, 18, 9, 22, 90, 15, 46, 29, 26, 37, 41, 74, 121, 21, 48, 26, 22, 83, 11, 29, 41, 54, 24, 55, 34, 16, 83, 70, 135, 101, 64, 74, 94, 200, 52, 44, 166, 28, 82, 119, 156, 48, 153, 77, 145, 105, 127, 164, 104, 85, 40, 131, 156, 114, 115, 133, 196, 141, 74, 131, 169, 142, 111, 169, 200, 133, 200, 174, 157, 125, 129, 151, 143, 174, 146, 165, 200, 200, 200, 200]",0.7541776612274839,0.33551840341144046,1.1894965260153791,4.112,7782.543,8.848,12048,88416,11584,22,67.2375,64.57499999999999,0.0005000000237487257,19.165865,-0.16189194,22.32069,0.6793239
